Name;Cost;Type;Color; Rar; High;Mid; Low
Acolyte's Reward;1W;Instant; White; U;$0.87; $0.23; $0.05 
Aerie Worshippers; 3U;Creature;Blue;U;$0.85; $0.17; $0.03 
Akroan Conscriptor;4R;Creature;Red; U;$0.80; $0.16; $0.04 
Akroan Phalanx;3W;Creature;White; U;$0.87; $0.19; $0.04 
Akroan Skyguard; 1W;Creature;White; C;$0.60; $0.12; $0.02 
Arbiter of the Ideal;4UU; Creature;Blue;R;$1.70; $0.34; $0.10 
Archetype of Aggression; 1RR; Creature;Red; U;$0.87; $0.23; $0.05 
Archetype of Courage;1WW; Creature;White; U;$1.03; $0.25; $0.05 
Archetype of Endurance;6GG; Creature;Green; U;$0.87; $0.20; $0.04 
Archetype of Finality; 4BB; Creature;Black; U;$0.87; $0.20; $0.04 
Archetype of Imagination;4UU; Creature;Blue;U;$0.87; $0.20; $0.05 
Ashiok's Adept;2B;Creature;Black; U;$0.80; $0.16; $0.03 
Aspect of Hydra; G; Instant; Green; C;$0.60; $0.12; $0.04 
Asphyxiate;1BB; Sorcery; Black; C;$0.65; $0.13; $0.03 
Astral Cornucopia; XXX; Artifact;Colorless; R;$2.50; $0.53; $0.20 
Bile Blight; BB;Instant; Black; U;$2.04; $1.35; $0.85 
Bird Token (Blue);; Token;; T;$0.66; $0.25; $0.05 
Bird Token (White);;Token;; T;$0.87; $0.25; $0.05 
Black Oak of Odunos; 2B;Creature;Black; U;$0.87; $0.18; $0.04 
Bolt of Keranos; 1RR; Sorcery; Red; C;$0.65; $0.13; $0.04 
Brimaz, King of Oreskos; 1WW; Creature;White; M;$49.99;$34.99;$27.00 
Cat Soldier Token;; Token;; T;$0.73; $0.28; $0.08 
Centaur Token;; Token;; T;$0.66; $0.25; $0.05 
Champion of Stray Souls; 4BB; Creature;Black; M;$3.51; $1.49; $0.39 
Charging Badger; G; Creature;Green; C;$0.60; $0.12; $0.03 
Chorus of the Tides; 3U;Creature;Blue;C;$0.51; $0.14; $0.03 
Chromanticore; WUBRG; Creature;Multicolor;M;$9.99; $2.20; $1.00 
Claim of Erebos; 1B;Enchantment; Black; C;$0.65; $0.13; $0.03 
Courser of Kruphix;1GG; Creature;Green; R;$15.75;$7.77; $5.81 
Crypsis; 1U;Instant; Blue;C;$0.60; $0.12; $0.02 
