Name,Cost,Type,Color,Rarity,High,Mid,Low
Advent of the Wurm,1GGW,Instant,Gold,R,$8.00,$2.94,$1.68
AEtherling,4UU,Creature,Blue,R,$8.88,$2.84,$1.48
Alive // Well,3G/W,Sorcery,Gold,U,$0.95,$0.19,$0.04
Armed // Dangerous,1R/3G,Sorcery,Gold,U,$0.87,$0.19,$0.04
Armored Wolf-Rider,3GW,Creature,Gold,C,$0.43,$0.13,$0.03
Ascended Lawmage,2WU,Creature,Gold,U,$0.85,$0.17,$0.04
Awe for the Guilds,2R,Sorcery,Red,C,$0.43,$0.13,$0.03
Azorius Cluestone,3,Artifact,Colorless,C,$0.44,$0.14,$0.03
Azorius Guildgate,,Land,Colorless,C,$0.50,$0.21,$0.05
Bane Alley Blackguard,1B,Creature,Black,C,$0.43,$0.13,$0.03
Battering Krasis,2G,Creature,Green,C,$0.47,$0.12,$0.03
Beck // Call,UB/4WU,Sorcery,Gold,R,$2.45,$0.49,$0.19
Beetleform Mage,1GU,Creature,Gold,C,$0.47,$0.13,$0.03
Bird Token,,Token,White,T,$2.94,$2.58,$2.50
Blast of Genius,4UR,Sorcery,Gold,U,$0.70,$0.14,$0.03
Blaze Commando,3RW,Creature,Gold,U,$0.75,$0.15,$0.04
Blood Baron of Vizkopa,3WB,Creature,Gold,M,$24.99,$17.18,$14.94
Blood Scrivener,1B,Creature,Black,R,$2.50,$0.50,$0.20
Boros Battleshaper,5RW,Creature,Gold,R,$1.30,$0.26,$0.09
Boros Cluestone,3,Artifact,Colorless,C,$0.44,$0.14,$0.03
Boros Guildgate,,Land,Colorless,C,$0.56,$0.19,$0.06
Boros Mastiff,1W,Creature,White,C,$0.43,$0.13,$0.03
Breaking // Entering,UB/4BR,Sorcery,Gold,R,$2.49,$0.90,$0.49
Bred for the Hunt,1GU,Enchantment,Gold,U,$0.75,$0.15,$0.04
Bronzebeak Moa,2GW,Creature,Gold,U,$0.75,$0.15,$0.04
Carnage Gladiator,2BR,Creature,Gold,U,$0.75,$0.15,$0.04
Catch // Release,1UR/4RW,Sorcery,Gold,R,$1.35,$0.27,$0.09
Clear a Path,R,Sorcery,Red,C,$0.43,$0.13,$0.03
Council of the Absolute,2WU,Creature,Gold,M,$4.45,$0.89,$0.18
Crypt Incursion,2B,Instant,Black,C,$0.45,$0.13,$0.03
Deadbridge Chant,4BG,Enchantment,Gold,M,$6.18,$1.62,$0.50
Debt to the Deathless,XWWBB,Sorcery,Gold,U,$0.87,$0.24,$0.05
Deputy of Acquittals,WU,Creature,Gold,C,$0.55,$0.15,$0.03
Dimir Cluestone,3,Artifact,Colorless,C,$0.44,$0.14,$0.03
Dimir Guildgate,,Land,Colorless,C,$0.70,$0.19,$0.06
Down // Dirty,3B/2G,Sorcery,Gold,U,$0.85,$0.17,$0.03
Dragonshift,1UR,Instant,Gold,R,$1.45,$0.29,$0.12
Drown in Filth,BG,Sorcery,Gold,C,$0.49,$0.14,$0.03
Elemental Token,,Token,Multicolor,T,$10.29,$5.99,$4.00
Emmara Tandris,5GW,Creature,Gold,R,$1.45,$0.29,$0.10
"Exava, Rakdos Blood Witch",2BR,Creature,Gold,R,$4.99,$1.49,$0.30
Far // Away,1U/2B,Instant,Gold,U,$1.01,$0.45,$0.19
Fatal Fumes,3B,Instant,Black,C,$0.43,$0.13,$0.03
Feral Animist,1RG,Creature,Gold,U,$0.75,$0.15,$0.04
Flesh // Blood,3BG/RG,Sorcery,Gold,R,$1.74,$0.39,$0.19
Fluxcharger,2UR,Creature,Gold,U,$0.74,$0.15,$0.04
Gaze of Granite,XBBG,Sorcery,Gold,R,$2.50,$0.50,$0.19
Give // Take,2G/2U,Sorcery,Gold,U,$0.95,$0.19,$0.04
Gleam of Battle,4RW,Enchantment,Gold,U,$0.75,$0.15,$0.03
Goblin Test Pilot,1UR,Creature,Gold,U,$0.75,$0.15,$0.03
Golgari Cluestone,3,Artifact,Colorless,C,$0.44,$0.14,$0.03
Golgari Guildgate,,Land,Colorless,C,$0.59,$0.20,$0.08
Gruul Cluestone,3,Artifact,Colorless,C,$0.44,$0.14,$0.03
Gruul Guildgate,,Land,Colorless,C,$0.50,$0.18,$0.05
Gruul War Chant,2RG,Enchantment,Gold,U,$0.75,$0.15,$0.03
Haazda Snare Squad,2W,Creature,White,C,$0.43,$0.13,$0.03
Haunter of Nightveil,3UB,Creature,Gold,U,$0.75,$0.15,$0.03
Hidden Strings,1U,Sorcery,Blue,C,$0.75,$0.18,$0.04
Hired Torturer,2B,Creature,Black,C,$0.50,$0.14,$0.03
Izzet Cluestone,3,Artifact,Colorless,C,$0.50,$0.13,$0.03
Izzet Guildgate,,Land,Colorless,C,$0.66,$0.20,$0.06
Jelenn Sphinx,3WU,Creature,Gold,U,$0.75,$0.15,$0.03
Korozda Gorgon,3BG,Creature,Gold,U,$0.75,$0.15,$0.03
Krasis Incubation,2GU,Enchantment,Gold,U,$0.80,$0.16,$0.03
Kraul Warrior,1G,Creature,Green,C,$0.43,$0.13,$0.03
Lavinia of the Tenth,3WU,Creature,Gold,R,$1.45,$0.29,$0.06
Legion's Initiative,RW,Enchantment,Gold,M,$9.00,$3.12,$1.50
Lyev Decree,1W,Sorcery,White,C,$0.44,$0.14,$0.03
Master of Cruelties,3BR,Creature,Gold,M,$7.48,$3.83,$2.58
Maw of the Obzedat,3WB,Creature,Gold,U,$0.75,$0.15,$0.03
Maze Abomination,5B,Creature,Black,C,$0.50,$0.13,$0.03
Maze Behemoth,5G,Creature,Green,C,$0.50,$0.13,$0.03
Maze Glider,5U,Creature,Blue,C,$0.50,$0.13,$0.03
Maze Rusher,5R,Creature,Red,C,$0.50,$0.13,$0.03
Maze Sentinel,5W,Creature,White,C,$0.50,$0.13,$0.03
Maze's End,,Land,Colorless,M,$5.00,$1.91,$0.66
