Name,Cost,Type,Color,Rarity,High,Mid,Low
Act of Treason,2R,Sorcery,Red,C,$0.50,$0.12,$0.02
Adaptive Snapjaw,4G,Creature,Green,C,$0.50,$0.12,$0.02
Aerial Maneuver,1W,Instant,White,C,$0.50,$0.12,$0.02
Aetherize,3U,Instant,Blue,U,$0.96,$0.29,$0.10
Agoraphobia,1U,Enchantment,Blue,U,$0.75,$0.15,$0.03
Alms Beast,4WB,Creature,Gold,R,$1.30,$0.26,$0.09
Alpha Authority,1G,Enchantment,Green,U,$1.24,$0.27,$0.05
Angel Token,,Token,,T,$0.90,$0.24,$0.09
Angelic Edict,4W,Sorcery,White,C,$0.50,$0.12,$0.02
Angelic Skirmisher,4WW,Creature,White,R,$1.99,$0.55,$0.15
Armored Transport,3,Creature,Colorless,C,$0.50,$0.13,$0.03
Arrows of Justice,2(R/W),Instant,Gold,U,$0.75,$0.15,$0.03
Assault Griffin,3W,Creature,White,C,$0.50,$0.13,$0.03
Assemble the Legion,3RW,Enchantment,Gold,R,$3.99,$2.44,$0.99
Aurelia's Fury,XRW,Instant,Gold,M,$11.20,$2.24,$0.99
"Aurelia, the Warleader",2RRWW,Creature,Gold,M,$14.99,$3.99,$2.00
Balustrade Spy,3B,Creature,Black,C,$0.58,$0.12,$0.02
Bane Alley Broker,1UB,Creature,Gold,U,$0.80,$0.16,$0.04
Basilica Guards,2W,Creature,White,C,$0.50,$0.11,$0.03
Basilica Screecher,1B,Creature,Black,C,$0.50,$0.13,$0.03
Beckon Apparition,(W/B),Instant,Gold,C,$0.57,$0.13,$0.03
Biomass Mutation,X(G/U)(G/U),Instant,Gold,R,$1.30,$0.26,$0.09
Bioshift,(G/U),Instant,Gold,C,$0.64,$0.14,$0.03
Biovisionary,1GU,Creature,Gold,R,$1.60,$0.32,$0.12
Blind Obedience,1W,Enchantment,White,R,$4.49,$1.89,$0.99
Bomber Corps,1R,Creature,Red,C,$0.58,$0.12,$0.02
Borborygmos Enraged,4RRGG,Creature,Gold,M,$3.60,$0.72,$0.25
Boros Charm,RW,Instant,Gold,U,$3.47,$2.35,$1.30
Boros Elite,W,Creature,White,U,$1.25,$0.40,$0.10
Boros Guildgate,,Land,Colorless,C,$0.60,$0.19,$0.05
Boros Keyrune,3,Artifact,Colorless,U,$0.75,$0.15,$0.03
Boros Reckoner,(R/W)(R/W)(R/W),Creature,Gold,R,$29.00,$11.78,$9.49
Breeding Pool,,Land,Colorless,R,$14.99,$9.38,$6.90
Burning-Tree Emissary,(R/G)(R/G),Creature,Gold,U,$3.55,$2.24,$1.49
Burst of Strength,G,Instant,Green,C,$0.60,$0.12,$0.02
Call of the Nightwing,2UB,Sorcery,Gold,U,$0.75,$0.15,$0.04
Cartel Aristocrat,WB,Creature,Gold,U,$1.37,$0.31,$0.07
Cinder Elemental,3R,Creature,Red,U,$0.50,$0.15,$0.03
Clan Defiance,XRG,Sorcery,Gold,R,$1.45,$0.29,$0.12
Cleric Token,,Token,,T,$2.20,$0.44,$0.20
Clinging Anemones,3U,Creature,Blue,C,$0.50,$0.13,$0.03
Cloudfin Raptor,U,Creature,Blue,C,$0.61,$0.20,$0.07
Coerced Confession,4(U/B),Sorcery,Gold,U,$0.75,$0.15,$0.03
Consuming Aberration,3UB,Creature,Gold,R,$4.11,$3.35,$1.74
Contaminated Ground,1B,Enchantment,Black,C,$0.60,$0.12,$0.02
Corpse Blockade,2B,Creature,Black,C,$0.50,$0.12,$0.02
Court Street Denizen,2W,Creature,White,C,$0.50,$0.12,$0.02
Crackling Perimeter,1R,Enchantment,Red,U,$0.85,$0.17,$0.03
Crocanura,2G,Creature,Green,C,$0.60,$0.13,$0.03
Crowned Ceratok,3G,Creature,Green,U,$0.75,$0.15,$0.04
Crypt Ghast,3B,Creature,Black,R,$4.11,$2.17,$1.13
Daring Skyjek,1W,Creature,White,C,$0.50,$0.15,$0.03
Death's Approach,B,Enchantment,Black,C,$0.56,$0.12,$0.02
Deathcult Rogue,1(U/B)(U/B),Creature,Gold,C,$0.60,$0.12,$0.03
Deathpact Angel,3WBB,Creature,Gold,M,$3.08,$0.92,$0.49
Debtor's Pulpit,4W,Enchantment,White,U,$0.80,$0.16,$0.03
Devour Flesh,1B,Instant,Black,C,$0.75,$0.22,$0.04
Diluvian Primordial,5UU,Creature,Blue,R,$1.45,$0.29,$0.14
Dimir Charm,UB,Instant,Gold,U,$1.00,$0.40,$0.17
Dimir Guildgate,,Land,Colorless,C,$0.68,$0.19,$0.05
Dimir Keyrune,3,Artifact,Colorless,U,$0.80,$0.16,$0.05
Dinrova Horror,4UB,Creature,Gold,U,$0.75,$0.15,$0.04
Disciple of the Old Ways,1G,Creature,Green,C,$0.50,$0.13,$0.03
Domri Rade,1RG,Creature,Gold,M,$36.71,$29.99,$25.99
