Name;Cost;Type;Color; Rar; High;Mid; Low
Academy Raider;2R;Creature;Red; C;$0.50; $0.15; $0.03 
Accorder's Shield; 0; Artifact;Colorless; U;$0.75; $0.15; $0.03 
Accursed Spirit; 3B;Creature;Black; C;$0.50; $0.14; $0.03 
Act of Treason;2R;Sorcery; Red; C;$0.50; $0.14; $0.03 
Advocate of the Beast; 2G;Creature;Green; C;$0.50; $0.14; $0.03 
Air Servant; 4U;Creature;Blue;U;$0.87; $0.20; $0.04 
Ajani's Chosen;2WW; Creature;White; R;$1.98; $0.48; $0.20 
Ajani, Caller of the Pride;1WW; Creature;White; M;$14.99;$10.00;$8.25 
Altar's Reap;1B;Instant; Black; C;$0.50; $0.13; $0.03 
Angel Token;; Token;; T;$0.98; $0.33; $0.09 
Angelic Accord;3W;Enchantment; White; U;$1.00; $0.25; $0.08 
Angelic Wall;1W;Creature;White; C;$0.50; $0.15; $0.03 
Archaeomancer; 2UU; Creature;Blue;C;$0.50; $0.13; $0.03 
Archangel of Thune;3WW; Creature;White; M;$39.99;$30.00;$24.51 
Armored Cancrix; 4U;Creature;Blue;C;$0.50; $0.14; $0.03 
Artificer's Hex; B; Enchantment; Black; U;$1.00; $0.20; $0.04 
Auramancer;2W;Creature;White; C;$0.50; $0.14; $0.03 
Awaken the Ancient;1RRR;Enchantment; Red; R;$1.98; $0.40; $0.17 
Banisher Priest; 1WW; Creature;White; U;$1.49; $0.39; $0.10 
Barrage of Expendables;R; Enchantment; Red; U;$1.00; $0.22; $0.05 
Battle Sliver; 4R;Creature;Red; U;$1.20; $0.24; $0.06 
Beast Token;; Token;; T;$1.49; $0.61; $0.19 
Blessing;WW;Enchantment; White; U;$0.95; $0.19; $0.04 
Blightcaster;3B;Creature;Black; U;$0.95; $0.19; $0.04 
Blood Bairn; 2B;Creature;Black; C;$0.50; $0.14; $0.03 
Blur Sliver; 2R;Creature;Red; C;$0.50; $0.17; $0.04 
Bogbrew Witch; 3B;Creature;Black; R;$1.98; $0.68; $0.20 
Bonescythe Sliver; 3W;Creature;White; R;$3.16; $1.59; $0.75 
Bramblecrush;2GG; Sorcery; Green; U;$0.85; $0.17; $0.04 
Brave the Elements;W; Instant; White; U;$0.87; $0.42; $0.10 
Briarpack Alpha; 3G;Creature;Green; U;$0.90; $0.18; $0.04 
Brindle Boar;2G;Creature;Green; C;$0.60; $0.14; $0.03 
Bubbling Cauldron; 2; Artifact;Colorless; U;$1.00; $0.25; $0.05 
Burning Earth; 3R;Enchantment; Red; R;$5.65; $1.95; $0.45 
Cancel;1UU; Instant; Blue;C;$0.59; $0.14; $0.03 
Canyon Minotaur; 3R;Creature;Red; C;$0.50; $0.15; $0.03 
Capashen Knight; 1W;Creature;White; C;$0.50; $0.15; $0.03 
Cat Token;; Token;; T;$0.90; $0.26; $0.12 
Celestial Flare; WW;Instant; White; C;$0.64; $0.20; $0.04 
Chandra's Outrage; 2RR; Instant; Red; C;$0.50; $0.13; $0.03 
Chandra's Phoenix; 1RR; Creature;Red; R;$5.14; $3.34; $0.67 
Chandra, Pyromaster; 2RR; Creature;Red; M;$40.00;$17.99;$12.58 
Charging Griffin;3W;Creature;White; C;$0.50; $0.14; $0.03 
Child of Night;1B;Creature;Black; C;$0.50; $0.14; $0.03 
Claustrophobia;1UU; Enchantment; Blue;C;$0.50; $0.14; $0.03 
Clone; 3U;Creature;Blue;R;$1.74; $0.35; $0.10 
Colossal Whale;5UU; Creature;Blue;R;$1.50; $0.30; $0.09 
Congregate;3W;Instant; White; U;$1.10; $0.22; $0.06 
Coral Merfolk; 1U;Creature;Blue;C;$0.50; $0.15; $0.03 
Corpse Hauler; 1B;Creature;Black; C;$0.50; $0.13; $0.03 
Corrupt; 5B;Sorcery; Black; U;$1.00; $0.20; $0.04 
Cyclops Tyrant;5R;Creature;Red; C;$0.50; $0.14; $0.03 
Dark Favor;1B;Enchantment; Black; C;$0.50; $0.14; $0.03 
Dark Prophecy; BBB; Enchantment; Black; R;$2.45; $0.49; $0.15 
Darksteel Forge; 9; Artifact;Colorless; M;$7.20; $2.00; $0.40 
Darksteel Ingot; 3; Artifact;Colorless; U;$1.01; $0.24; $0.09 
Dawnstrike Paladin;3WW; Creature;White; C;$0.50; $0.14; $0.03 
Deadly Recluse;1G;Creature;Green; C;$0.55; $0.12; $0.03 
Deathgaze Cockatrice;2BB; Creature;Black; C;$0.50; $0.13; $0.03 
Demolish;3R;Sorcery; Red; C;$0.50; $0.14; $0.03 
Devout Invocation; 6W;Sorcery; White; M;$3.20; $1.05; $0.50 
Diabolic Tutor;2BB; Sorcery; Black; U;$1.00; $0.25; $0.05 
Dismiss into Dream;6U;Enchantment; Blue;R;$1.50; $0.30; $0.09 
Disperse;1U;Instant; Blue;C;$0.50; $0.14; $0.03 
Divination;2U;Sorcery; Blue;C;$0.50; $0.14; $0.03 
Divine Favor;1W;Enchantment; White; C;$0.50; $0.14; $0.03 
Domestication; 2UU; Enchantment; Blue;R;$1.75; $0.35; $0.09 
Doom Blade;1B;Instant; Black; U;$1.37; $0.40; $0.08 
Door of Destinies; 4; Artifact;Colorless; R;$7.00; $2.38; $1.55 
Dragon Egg;2R;Creature;Red; U;$0.95; $0.19; $0.04 
Dragon Hatchling;1R;Creature;Red; C;$0.60; $0.14; $0.03 
Dragon Token;;Token;; T;$0.95; $0.37; $0.12 
Duress;B; Sorcery; Black; C;$0.56; $0.16; $0.03 
Elemental Token;; Token;; T;$1.29; $0.48; $0.29 
Elemental Token;; Token;; T;$0.96; $0.43; $0.23 
Elite Arcanist;3U;Creature;Blue;R;$1.91; $0.59; $0.38 
Elixir of Immortality; 1; Artifact;Colorless; U;$1.00; $0.27; $0.10 
Elvish Mystic; G; Creature;Green; C;$1.02; $0.36; $0.10 
Emblem - Garruk, Caller of Beasts;; Token;; T;$5.00; $1.05; $0.48 
Emblem - Liliana of the Dark Realms;; Token;; T;$2.00; $0.79; $0.29 
Encroaching Wastes;;Land;Colorless; U;$1.53; $0.35; $0.07 
Enlarge; 3GG; Sorcery; Green; U;$0.95; $0.19; $0.04 
Essence Scatter; 1U;Instant; Blue;C;$0.50; $0.15; $0.03 
Festering Newt;B; Creature;Black; C;$0.57; $0.15; $0.03 
Fiendslayer Paladin; 1WW; Creature;White; R;$19.00;$6.50; $3.46 
Fireshrieker;3; Artifact;Colorless; U;$0.69; $0.24; $0.07 
Flames of the Firebrand; 2R;Sorcery; Red; U;$0.95; $0.19; $0.04 
Fleshpulper Giant; 5RR; Creature;Red; U;$1.00; $0.20; $0.04 
Fog; G; Instant; Green; C;$0.57; $0.15; $0.03 
Forest (246);;Land;Colorless; L;$0.46; $0.13; $0.04 
Forest (247);;Land;Colorless; L;$0.46; $0.18; $0.04 
Forest (248);;Land;Colorless; L;$0.46; $0.13; $0.04 
Forest (249);;Land;Colorless; L;$0.46; $0.14; $0.04 
Fortify; 2W;Instant; White; C;$0.50; $0.13; $0.03 
Frost Breath;2U;Instant; Blue;C;$0.50; $0.14; $0.03 
Galerider Sliver;U; Creature;Blue;R;$4.00; $1.74; $0.35 
