Name ;Cost ;Type ;Color ;Rar ;High ;Mid ;Low
Abhorrent Overlord; 5BB; Creature; Black; R;$1.45 ;$0.29 ;$0.06 
Agent of Horizons; 2G; Creature; Green; C;$0.45 ;$0.13 ;$0.03 
Agent of the Fates; 1BB; Creature; Black; R;$4.95 ;$0.99 ;$0.20 
Akroan Crusader; R; Creature; Black; C;$0.58 ;$0.15 ;$0.04 
Akroan Hoplite; RW; Creature; Multicolor; U;$0.87 ;$0.18 ;$0.04 
Akroan Horse; 4; Creature; Artifact; R;$1.25 ;$0.25 ;$0.09 
Anax and Cymede; 1RW; Creature; Multicolor; R;$1.50 ;$0.30 ;$0.10 
Anger of the Gods; 1RR; Sorcery; Red; R;$6.00 ;$1.94 ;$0.69 
Annul; U; Instant; Blue; C;$0.45 ;$0.14 ;$0.03 
Anthousa, Setessan Hero; 3GG; Creature; Green; R;$1.25 ;$0.25 ;$0.05 
Anvilwrought Raptor; 4; Creature; Artifact; U;$0.84 ;$0.20 ;$0.04 
Aqueous Form; U; Enchantment; Blue; C;$0.59 ;$0.15 ;$0.03 
Arbor Colossus; 2GGG; Creature; Green; R;$3.75 ;$0.75 ;$0.20 
Arena Athlete; 1R; Creature; Red; U;$0.69 ;$0.17 ;$0.03 
Artisan of Forms; 1U; Creature; Blue; R;$1.75 ;$0.35 ;$0.09 
Artisan's Sorrow; 3G; Instant; Green; U;$0.84 ;$0.21 ;$0.04 
Ashen Rider; 4WWBB; Creature; Multicolor; M;$6.45 ;$1.75 ;$0.85 
Ashiok, Nightmare Weaver; 1UB; Creature; Multicolor; M;$24.99 ;$9.30 ;$6.35 
Asphodel Wanderer; B; Creature; Black; C;$0.45 ;$0.14 ;$0.03 
Baleful Eidolon; 1B; Enchantment; Black; C;$0.50 ;$0.13 ;$0.03 
Battlewise Hoplite; WU; Creature; Multicolor; U;$0.84 ;$0.20 ;$0.04 
Battlewise Valor; 1W; Instant; White; C;$0.65 ;$0.13 ;$0.03 
Benthic Giant; 5U; Creature; Blue; C;$0.44 ;$0.14 ;$0.03 
Bident of Thassa; 2UU; Artifact; Blue; R;$2.13 ;$0.56 ;$0.24 
Bird Token; ; Token; ; T;$0.66 ;$0.27 ;$0.05 
Blood-Toll Harpy; 2B; Creature; Black; C;$0.45 ;$0.15 ;$0.03 
Boar Token; ; Token; ; T;$0.69 ;$0.25 ;$0.07 
Boon of Erebos; B; Instant; Black; C;$0.43 ;$0.13 ;$0.03 
Boon Satyr; 1GG; Creature; Green; R;$6.17 ;$2.29 ;$1.20 
Borderland Minotaur; 2RR; Creature; Red; C;$0.54 ;$0.13 ;$0.03 
Boulderfall; 6RR; Instant; Red; C;$0.44 ;$0.14 ;$0.03 
Bow of Nylea; 1GG; Artifact; Green; R;$3.74 ;$1.57 ;$0.59 
Breaching Hippocamp; 3U; Creature; Blue; C;$0.44 ;$0.14 ;$0.03 
Bronze Sable; 2; Creature; Artifact; C;$0.45 ;$0.14 ;$0.03 
Burnished Hart; 3; Creature; Artifact; U;$0.69 ;$0.22 ;$0.04 
Cavalry Pegasus; 1W; Creature; White; C;$0.43 ;$0.13 ;$0.03 
Cavern Lampad; 3B; Creature; Black; C;$0.46 ;$0.15 ;$0.03 
Celestial Archon; 3WW; Creature; White; R;$1.35 ;$0.27 ;$0.05 
Centaur Battlemaster; 3GG; Creature; Green; U;$0.57 ;$0.20 ;$0.04 
Chained to the Rocks; W; Enchantment; White; R;$4.99 ;$1.54 ;$0.39 
Chosen by Heliod; 1W; Enchantment; White; C;$0.44 ;$0.13 ;$0.03 
Chronicler of Heroes; 1GW; Creature; Multicolor; U;$0.84 ;$0.21 ;$0.04 
Cleric Token; ; Token; ; T;$1.69 ;$0.69 ;$0.29 
Coastline Chimera; 3U; Creature; Blue; C;$0.45 ;$0.14 ;$0.03 
Colossus of Akros; 8; Creature; Artifact; R;$1.74 ;$0.49 ;$0.20 
Commune with the Gods; 1G; Sorcery; Green; C;$0.45 ;$0.15 ;$0.03 
Coordinated Assault; R; Instant; Red; U;$0.84 ;$0.24 ;$0.05 
Crackling Triton; 2U; Creature; Blue; C;$0.45 ;$0.15 ;$0.03 
Curse of the Swine; XUU; Sorcery; Blue; R;$2.40 ;$0.48 ;$0.15 
Cutthroat Maneuver; 3B; Instant; Black; U;$0.69 ;$0.20 ;$0.04 
Dark Betrayal; B; Instant; Black; U;$0.84 ;$0.25 ;$0.05 
Dauntless Onslaught; 2W; Instant; White; U;$0.69 ;$0.20 ;$0.04 
Daxos of Meletis; 1WU; Creature; Multicolor; R;$2.65 ;$0.53 ;$0.24 
Deathbellow Raider; 1R; Creature; Red; C;$0.43 ;$0.13 ;$0.03 
Decorated Griffin; 4W; Creature; White; U;$0.69 ;$0.21 ;$0.04 
Defend the Hearth; 1G; Instant; Green; C;$0.42 ;$0.13 ;$0.03 
Demolish; 3R; Sorcery; Red; C;$0.45 ;$0.14 ;$0.03 
Destructive Revelry; RG; Instant; Multicolor; U;$0.70 ;$0.25 ;$0.05 
Disciple of Phenax; 2BB; Creature; Black; C;$0.44 ;$0.14 ;$0.03 
Dissolve; 1UU; Instant; Blue; U;$1.53 ;$0.76 ;$0.39 
Divine Verdict; 3W; Instant; White; C;$0.44 ;$0.14 ;$0.03 
Dragon Mantle; R; Enchantment; Red; C;$0.50 ;$0.13 ;$0.03 
Elemental Token; ; Token; ; T;$0.99 ;$0.45 ;$0.12 
Elspeth, Sun's Champion; 4WW; Creature; White; M;$31.24 ;$19.13 ;$15.99 
Ember Swallower; 2RR; Creature; Red; R;$1.74 ;$0.36 ;$0.12 
Emblem - Elspeth, Sun's Champion; ; Token; ; T;$2.40 ;$1.00 ;$0.25 
Ephara's Warden; 3W; Creature; White; C;$0.45 ;$0.15 ;$0.03 
Erebos's Emissary; 3B; Enchantment; Black; U;$0.69 ;$0.19 ;$0.04 
Erebos, God of the Dead; 3B; Creature; Black; M;$25.00 ;$7.99 ;$5.57 
Evangel of Heliod; 4WW; Creature; White; U;$0.69 ;$0.17 ;$0.03 
Fabled Hero; 1WW; Creature; White; R;$4.95 ;$0.99 ;$0.49 
Fade into Antiquity; 2G; Sorcery; Green; C;$0.49 ;$0.14 ;$0.03 
Fanatic of Mogis; 3R; Creature; Red; U;$1.25 ;$0.43 ;$0.09 
Fate Foretold; 1U; Enchantment; Blue; C;$0.44 ;$0.14 ;$0.03 
Favored Hoplite; W; Creature; White; U;$0.69 ;$0.25 ;$0.09 
Felhide Minotaur; 2B; Creature; Black; C;$0.50 ;$0.10 ;$0.03 
Feral Invocation; 2G; Enchantment; Green; C;$0.53 ;$0.13 ;$0.03 
Firedrinker Satyr; R; Creature; Red; R;$3.55 ;$0.71 ;$0.19 
Flamecast Wheel; 1; Artifact; Artifact; U;$0.69 ;$0.21 ;$0.04 
Flamespeaker Adept; 2R; Creature; Red; U;$0.69 ;$0.19 ;$0.04 
Fleecemane Lion; GW; Creature; Multicolor; R;$10.00 ;$2.49 ;$1.20 
Fleetfeather Sandals; 2; Artifact; Artifact; C;$0.45 ;$0.14 ;$0.03 
Fleshmad Steed; 1B; Creature; Black; C;$0.45 ;$0.14 ;$0.03 
Forest (246); ; Land; ; L;$0.64 ;$0.15 ;$0.05 
Forest (247); ; Land; ; L;$0.64 ;$0.14 ;$0.05 
Forest (248); ; Land; ; L;$0.63 ;$0.16 ;$0.05 
Forest (249); ; Land; ; L;$0.60 ;$0.15 ;$0.05 
Gainsay; 1U; Instant; Blue; U;$1.02 ;$0.21 ;$0.05 
Gift of Immortality; 2W; Enchantment; White; R;$1.99 ;$0.82 ;$0.25 
Glare of Heresy; 1W; Sorcery; White; U;$0.85 ;$0.25 ;$0.05 
Gods Willing; W; Instant; White; C;$0.80 ;$0.16 ;$0.03 
Golem Token; ; Token; ; T;$0.62 ;$0.24 ;$0.05 
Gray Merchant of Asphodel; 3BB; Creature; Black; C;$0.49 ;$0.19 ;$0.04 
Griptide; 3U; Instant; Blue; C;$0.44 ;$0.14 ;$0.03 
Guardians of Meletis; 3; Creature; Artifact; C;$0.44 ;$0.14 ;$0.03 
Hammer of Purphoros; 1RR; Artifact; Red; R;$3.25 ;$0.82 ;$0.30 
Harpy Token; ; Token; ; T;$0.64 ;$0.25 ;$0.08 
Heliod's Emissary; 3W; Enchantment; White; U;$0.69 ;$0.20 ;$0.04 
Heliod, God of the Sun; 3W; Creature; White; M;$10.29 ;$4.93 ;$3.50 
Hero's Downfall; 1BB; Instant; Black; R;$15.50 ;$8.22 ;$6.00 
Hopeful Eidolon; W; Creature; White; C;$0.42 ;$0.12 ;$0.03 
Horizon Chimera; 2GU; Creature; Multicolor; U;$0.67 ;$0.21 ;$0.04 
Horizon Scholar; 5U; Creature; Blue; U;$0.69 ;$0.21 ;$0.04 
Hundred-Handed One; 2WW; Creature; White; R;$1.45 ;$0.29 ;$0.06 
Hunt the Hunter; G; Sorcery; Green; U;$0.69 ;$0.20 ;$0.04 
Hythonia the Cruel; 4BB; Creature; Black; M;$4.11 ;$0.97 ;$0.40 
Ill-Tempered Cyclops; 3R; Creature; Red; C;$0.44 ;$0.14 ;$0.03 
Insatiable Harpy; 2BB; Creature; Black; U;$0.69 ;$0.20 ;$0.04 
Island (234); ; Land; Blue; L;$0.63 ;$0.14 ;$0.05 
Island (235); ; Land; Blue; L;$0.58 ;$0.14 ;$0.05 
Island (236); ; Land; Blue; L;$0.62 ;$0.14 ;$0.05 
Island (237); ; Land; Blue; L;$0.62 ;$0.15 ;$0.05 
Karametra's Acolyte; 3G; Creature; Green; U;$0.84 ;$0.24 ;$0.05 
Keepsake Gorgon; 3BB; Creature; Black; U;$0.69 ;$0.20 ;$0.04 
Kragma Warcaller; 3BR; Creature; Multicolor; U;$0.84 ;$0.23 ;$0.05 
Labyrinth Champion; 3R; Creature; Red; R;$1.35 ;$0.27 ;$0.05 
Lagonna-Band Elder; 2W; Creature; White; C;$0.44 ;$0.14 ;$0.03 
Lash of the Whip; 4B; Instant; Black; C;$0.49 ;$0.14 ;$0.03 
Last Breath; 1W; Instant; White; C;$0.54 ;$0.15 ;$0.03 
Leafcrown Dryad; 1G; Creature; Green; C;$0.53 ;$0.14 ;$0.03 
Leonin Snarecaster; 1W; Creature; White; C;$0.44 ;$0.14 ;$0.03 
Lightning Strike; 1R; Instant; Red; C;$1.19 ;$0.38 ;$0.08 
Loathsome Catoblepas; 5B; Creature; Black; C;$0.45 ;$0.14 ;$0.03 
Lost in a Labyrinth; U; Instant; Blue; C;$0.43 ;$0.14 ;$0.03 
Magma Jet; 1R; Instant; Red; U;$3.20 ;$1.00 ;$0.40 
March of the Returned; 3B; Sorcery; Black; C;$0.44 ;$0.14 ;$0.03 
Master of Waves; 3U; Creature; Blue; M;$27.77 ;$8.99 ;$6.00 
Medomai the Ageless; 4WU; Creature; Multicolor; M;$4.99 ;$1.05 ;$0.49 
Meletis Charlatan; 2U; Creature; Blue; R;$1.25 ;$0.25 ;$0.10 
Messenger's Speed; R; Enchantment; Red; C;$0.54 ;$0.13 ;$0.03 
Minotaur Skullcleaver; 2R; Creature; Red; C;$0.54 ;$0.13 ;$0.03 
Mistcutter Hydra; XG; Creature; Green; R;$6.99 ;$3.49 ;$2.20 
Mnemonic Wall; 4U; Creature; Blue; C;$0.44 ;$0.14 ;$0.03 
Mogis's Marauder; 2B; Creature; Black; U;$0.69 ;$0.20 ;$0.04 
Mountain (242); ; Land; ; L;$0.63 ;$0.16 ;$0.05 
Mountain (243); ; Land; ; L;$0.55 ;$0.11 ;$0.05 
Mountain (244); ; Land; ; L;$0.61 ;$0.15 ;$0.05 
Mountain (245); ; Land; ; L;$0.64 ;$0.15 ;$0.05 
Nemesis of Mortals; 4GG; Creature; Green; U;$1.25 ;$0.25 ;$0.05 
